"Date","RegionName","State","Metro","County","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2013-09-30,"Wichita","KS","Wichita","Sedgwick",49,946,-0.00210970464135021,0.00105820105820106,0.0096051227321238,115340
2013-09-30,"Arlington","TX","Dallas-Fort Worth","Tarrant",50,1289,0.00546021840873635,0.00703125,0.0353413654618474,90167
2013-09-30,"New Orleans","LA","New Orleans","Orleans",51,1390,-0.00926585887384177,-0.000718907260963336,0.0213078618662748,79804
2013-09-30,"Bakersfield","CA","Bakersfield","Kern",52,1379,0.00290909090909091,0.00804093567251462,0.0298730395817774,90620
2013-09-30,"Tampa","FL","Tampa","Hillsborough",53,1185,0.00169061707523246,0.00679694137638063,0.0304347826086957,108143
2013-09-30,"Anaheim","CA","Los Angeles","Orange",54,2288,0.00350877192982456,0.00571428571428571,0.0123893805309735,56613
2013-09-30,"Aurora","CO","Denver","Arapahoe",55,1368,0.00959409594095941,0.0231862378459237,0.0563706563706564,97141
2013-09-30,"Santa Ana","CA","Los Angeles","Orange",56,2192,0.00596603946764571,0.0181142591732466,0.0543530543530544,43939
2013-09-30,"Saint Louis","MO","St. Louis","Saint Louis City",57,833,0.00482509047044632,-0.00596658711217184,-0.0336426914153132,83206
2013-09-30,"Marietta","GA","Atlanta","Cobb",58,1405,0.00716845878136201,0.0159074475777296,0.0361356932153392,93286
2013-09-30,"Pittsburgh","PA","Pittsburgh","Allegheny",59,944,0.00106044538706257,-0.0455005055611729,0.0249728555917481,91310
2013-09-30,"Corpus Christi","TX","Corpus Christi","Nueces",60,1297,0.00154440154440154,0.0109119251753702,0.0790349417637271,83791
2013-09-30,"Riverside","CA","Riverside","Riverside",61,1605,-0.00062266500622665,0.00438047559449312,0.0222929936305732,63819
2013-09-30,"Cincinnati","OH","Cincinnati","Hamilton",62,889,-0.00224466891133558,-0.0155038759689922,-0.0230769230769231,64241
2013-09-30,"Anchorage","AK","Anchorage","Anchorage",63,2062,-0.00434572670207629,-0.0185625892432175,0.0398386283408976,72092
2013-09-30,"Saint Paul","MN","Minneapolis-St Paul","Ramsey",64,1282,0.00078064012490242,0.0015625,0.0207006369426752,65282
2013-09-30,"Silver Spring","MD","Washington","Montgomery",65,2149,-0.000929800092980009,-0.00555298472929199,-0.0110446387482743,75139
2013-09-30,"Toledo","OH","Toledo","Lucas",66,747,-0.0105960264900662,-0.0484076433121019,0.0535966149506347,90723
2013-09-30,"Tallahassee","FL","Tallahassee","Leon",67,1182,-0.00084530853761623,-0.0108786610878661,-0.00168918918918919,74274
2013-09-30,"Stockton","CA","Stockton","San Joaquin",68,1191,0.000840336134453782,0.00421585160202361,-0.00584307178631052,68353
2013-09-30,"Newark","NJ","New York","Essex",69,1439,-0.00827015851137147,0.0227434257285004,0.0860377358490566,31270
2013-09-30,"Lexington","KY","Lexington","Fayette",70,1104,0.00914076782449726,0.0514285714285714,0.0454545454545455,85448
2013-09-30,"Modesto","CA","Modesto","Stanislaus",71,1101,0.000909090909090909,-0.0116696588868941,-0.00361990950226244,65108
2013-09-30,"Buffalo","NY","Buffalo","Erie",72,819,-0.0353356890459364,-0.0714285714285714,-0.0364705882352941,38386
2013-09-30,"Durham","NC","Durham","Durham",73,1179,-0.00169348010160881,-0.00253807106598985,0.0155038759689922,71840
2013-09-30,"Plano","TX","Dallas-Fort Worth","Collin",74,1763,0.00398633257403189,0.0138010350776308,0.0244044160371877,70485
2013-09-30,"Chandler","AZ","Phoenix","Maricopa",75,1291,0,-0.00539291217257319,-0.0114854517611026,85874
2013-09-30,"Pensacola","FL","Pensacola","Escambia",76,876,0.0022883295194508,0.00458715596330275,0.0221703617269545,88101
2013-09-30,"Henderson","NV","Las Vegas","Clark",77,1296,0.000772200772200772,0.00232018561484919,0.0172684458398744,95065
2013-09-30,"Saint Petersburg","FL","Tampa","Pinellas",78,1165,0.00604490500863558,0.0228270412642669,0.0688073394495413,92885
2013-09-30,"Mobile","AL","Mobile","Mobile",79,833,0.00847457627118644,0.0146163215590743,0.0121506682867558,92998
2013-09-30,"Orlando","FL","Orlando","Orange",80,1151,0.00699912510936133,0.0140969162995595,0.0588776448942042,74843
2013-09-30,"Lubbock","TX","Lubbock","Lubbock",81,1123,-0.0105726872246696,-0.00531443755535872,0.0181323662737987,68854
2013-09-30,"Glendale","AZ","Phoenix","Maricopa",82,1068,0.0028169014084507,0.0084985835694051,0.0084985835694051,67386
2013-09-30,"Greensboro","NC","Greensboro","Guilford",83,913,0.00550660792951542,0.0189732142857143,0.0328054298642534,82476
2013-09-30,"Louisville","KY","Louisville/Jefferson County","Jefferson",84,836,-0.00476190476190476,-0.0118203309692671,0.0108827085852479,80308
2013-09-30,"Norfolk","VA","Virginia Beach","Norfolk City",85,1269,0.0063441712926249,0.020096463022508,0.0127693535514765,52572
2013-09-30,"Corona","CA","Riverside","Riverside",86,2105,0.00238095238095238,0.0100767754318618,0.0110470701248799,59414
2013-09-30,"Chula Vista","CA","San Diego","San Diego",87,2141,-0.000933271115258983,0.0070555032925682,0.0108593012275732,53705
2013-09-30,"Lincoln","NE","Lincoln","Lancaster",88,1051,0.0154589371980676,0.0174249757986447,0.134989200863931,76559
2013-09-30,"Fayetteville","NC","Fayetteville","Cumberland",89,853,0.00589622641509434,0.008274231678487,-0.0069848661233993,73303
2013-09-30,"Hialeah","FL","Miami-Fort Lauderdale","Miami-Dade",90,1567,0.00642260757867694,0.0295663600525624,0.0645380434782609,49093
2013-09-30,"Fort Wayne","IN","Fort Wayne","Allen",91,828,0.00852618757612668,0.00242130750605327,-0.0036101083032491,77974
2013-09-30,"Lawrenceville","GA","Atlanta","Gwinnett",92,1206,0.005,0.010896898575021,0.0177215189873418,66626
2013-09-30,"Fort Myers","FL","Fort Myers","Lee",93,1315,0.0154440154440154,0.0329929300864101,0.0814144736842105,97739
2013-09-30,"San Bernardino","CA","Riverside","San Bernardino",94,1276,0.0047244094488189,0,0.0240770465489567,44192
2013-09-30,"Garland","TX","Dallas-Fort Worth","Dallas",95,1211,0.00748752079866889,0.0167926112510495,0.0493934142114385,61290
2013-09-30,"Winston-Salem","NC","Winston-Salem","Forsyth",96,970,0.0104166666666667,0.025369978858351,0.0407725321888412,73802
2013-09-30,"Chesapeake","VA","Virginia Beach","Chesapeake City",97,1594,0.00441083805923125,0.00694883133291219,0.0191815856777494,68987
2013-09-30,"Birmingham","AL","Birmingham","Jefferson",98,736,-0.00540540540540541,-0.0251655629139073,-0.00135685210312076,77535
2013-09-30,"Fontana","CA","Riverside","San Bernardino",99,1656,-0.00240963855421687,-0.00838323353293413,-0.0125223613595707,46219
2013-09-30,"Bradenton","FL","Sarasota","Manatee",100,1504,-0.000664451827242525,0,0.0343878954607978,75579
2013-09-30,"Knoxville","TN","Knoxville","Knox",101,910,0.0178970917225951,0.00330760749724366,-0.00871459694989107,69089
2013-09-30,"Laredo","TX","Laredo","Webb",102,1048,0.0214424951267056,0.0184645286686103,0.0294695481335953,48278
2013-09-30,"North Las Vegas","NV","Las Vegas","Clark",103,1102,0.00272975432211101,0.00547445255474453,0.000908265213442325,63939
2013-09-30,"Reno","NV","Reno","Washoe",104,1277,0.00630417651694247,0.00709779179810726,0.0265273311897106,61819
2013-09-30,"Springfield","MO","Springfield","Greene",105,784,0.00127713920817369,0.00384122919334187,0.0116129032258065,71553
2013-09-30,"Montgomery","AL","Montgomery","Montgomery",106,808,-0.00737100737100737,0.0150753768844221,-0.0170316301703163,41797
2013-09-30,"Scottsdale","AZ","Phoenix","Maricopa",107,1812,-0.00275178866263071,-0.00983606557377049,-0.0346297282898242,106453
2013-09-30,"Santa Rosa","CA","Santa Rosa","Sonoma",108,1856,0.0114441416893733,0.00869565217391304,0.055745164960182,51420
2013-09-30,"Fremont","CA","San Francisco","Alameda",109,2436,0.00495049504950495,0.0209555741827326,0.037037037037037,57219
2013-09-30,"Irving","TX","Dallas-Fort Worth","Dallas",110,1277,0.00789265982636148,0.0175298804780877,0.048440065681445,37833
2013-09-30,"Oxnard","CA","Ventura","Ventura",111,2128,0.00519603212092584,0.00662251655629139,0.0608175473579262,37279
2013-09-30,"Rochester","NY","Rochester","Monroe",112,896,0.00111731843575419,-0.00665188470066519,-0.00444444444444444,41273
2013-09-30,"Greenville","SC","Greenville","Greenville",113,980,0.012396694214876,0.0283315844700944,0.0515021459227468,62045
2013-09-30,"Gilbert","AZ","Phoenix","Maricopa",114,1341,-0.000745156482861401,-0.00593031875463306,-0.0254360465116279,70090
2013-09-30,"Boca Raton","FL","Miami-Fort Lauderdale","Palm Beach",115,1997,0.00402212166918049,0.00706001008572869,0.033109156751164,94757
2013-09-30,"Arlington","VA","Washington","Arlington",116,2776,0.00108186080057699,0.012030623405031,0.0025279884434814,56237
2013-09-30,"Richmond","VA","Richmond","Richmond City",117,1103,0.00363967242948135,0.00546946216955333,0.0856299212598425,57576
2013-09-30,"Grand Rapids Township","MI","Grand Rapids","Kent",118,932,-0.00745473908413206,-0.0853778213935231,-0.0470347648261759,67551
2013-09-30,"Ocala","FL","Ocala","Marion",119,879,-0.00227014755959137,0.00918484500574053,0.0402366863905325,71072
2013-09-30,"Irvine","CA","Los Angeles","Orange",120,2912,0.00379179593243709,0.0516431924882629,0.037037037037037,56393
2013-09-30,"Spokane","WA","Spokane","Spokane",121,914,0.0133037694013304,0.0246636771300448,0.0398179749715586,63309
2013-09-30,"Des Moines","IA","Des Moines","Polk",122,1031,0.000970873786407767,-0.00290135396518375,0.0279162512462612,62138
2013-09-30,"Oceanside","CA","San Diego","San Diego",123,2025,0.00496277915632754,0.0175879396984925,0.0422027792074112,46836
2013-09-30,"Gainesville","FL","Gainesville","Alachua",124,1140,0.0106382978723404,0.0363636363636364,0.0261026102610261,50421
2013-09-30,"Tacoma","WA","Seattle","Pierce",125,1295,0.00621600621600622,0.0229067930489731,0.0426731078904992,57641
2013-09-30,"Akron","OH","Akron","Summit",126,735,0.00272851296043656,0.016597510373444,0.085672082717873,67088
2013-09-30,"Augusta","GA","Augusta","Richmond",127,782,0.0116429495472186,0.0330250990752972,0.0330250990752972,56851
2013-09-30,"Woodbridge","VA","Washington","Prince William",128,1787,0.00336889387984278,0.00224340998317443,0.0234822451317297,56388
2013-09-30,"Huntington Beach","CA","Los Angeles","Orange",129,2732,0.00109930377427629,0.0209267563527653,0.0435446906035141,54886
2013-09-30,"Boise","ID","Boise City","Ada",130,1025,0.00985221674876847,0.026026026026026,0.0374493927125506,65705
2013-09-30,"Glendale","CA","Los Angeles","Los Angeles",131,2498,-0.00159872102318145,0.00604107933950866,-0.00398724082934609,32721
2013-09-30,"Moreno Valley","CA","Riverside","Riverside",132,1460,0.00550964187327824,0.00968188105117566,0.00481761871988988,43961
