"Date","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","ZhviRecordCnt","PeakMonth","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI","PeakQuarter"
2013-09-30,"Cuyahoga Falls","OH","Akron","Summit",780,105000,-0.004739336492891,0.00478468899521531,0.0375494071146245,-0.0212428276809731,-0.0121890000648549,16502,"2006-04",124900,-0.159327461969576,"2000-08","2006-Q2"
2013-09-30,"Lakewood","OH","Cleveland","Cuyahoga",781,122300,-0.0048820179007323,0.00907590759075908,0.0958781362007168,0.00481110472424295,-0.00931623851032204,10470,"2005-11",139300,-0.122038765254846,"2001-04","2005-Q4"
2013-09-30,"Desoto","TX","Dallas-Fort Worth","Dallas",782,117800,-0.0150501672240803,0.00170068027210884,0.119771863117871,-0.00988662064170198,-0.00980622028714151,13978,"2007-10",151500,-0.222442244224422,"2001-05","2007-Q4"
2013-09-30,"Yucaipa","CA","Riverside","San Bernardino",783,262700,0.016640866873065,0.0932168123179359,0.303722084367246,0.00588868484602001,0.0147134607119774,13230,"2006-03",421600,-0.376897533206831,"2004-03","2006-Q1"
2013-09-30,"Fort Washington","MD","Washington","Prince Georges",784,236400,0.0089628681177977,0.024263431542461,0.140926640926641,-0.0506746800151059,0.012637815114547,18784,"2006-12",382000,-0.381151832460733,"2004-06","2006-Q4"
2013-09-30,"Kingman","AZ","Lake Havasu City","Mohave",785,98300,0.00717213114754098,0.0391120507399577,0.157832744405183,-0.0546589721193027,0.00534184760631051,14203,"2006-10",193900,-0.493037648272305,"2004-02","2006-Q4"
2013-09-30,"Brookline","MA","Boston","Norfolk",786,570800,0.00652442250044084,0.0305109225491966,0.139776357827476,0.0427509512057136,0.0269295835948187,11838,"2013-09",570800,0,"2013-09","2013-Q3"
2013-09-30,"Lincoln","CA","Sacramento","Placer",787,353500,0.0163887291546866,0.0725121359223301,0.307322485207101,0.0164538557567013,0.013283102616841,18086,"2005-12",481800,-0.266293067662931,"2004-06","2005-Q4"
2013-09-30,"Waianae","HI","Honolulu","Honolulu",788,287500,0.00349040139616056,0.0308354248834708,0.036036036036036,-0.0131677645465664,,12231,"2007-06",343300,-0.162540052432275,"2005-08","2007-Q2"
2013-09-30,"Novi","MI","Detroit","Oakland",789,263000,-0.00265453166477057,0.0532639167000401,0.168369613505109,0.0386264337565243,-0.00225319248470568,14267,"2005-12",301500,-0.127694859038143,"2002-05","2005-Q4"
2013-09-30,"Sierra Vista","AZ","Sierra Vista","Cochise",790,149200,-0.0125744540039709,-0.0324254215304799,-0.0841006752608962,-0.0488930787845369,0.0189195904146069,14991,"2006-11",213700,-0.301824988301357,"2005-01","2006-Q4"
2013-09-30,"West Sacramento","CA","Sacramento","Yolo",791,219800,0.0105747126436782,0.062862669245648,0.318536292741452,-0.0316152609270911,-0.00521572101855772,12850,"2005-11",391100,-0.437995397596523,"2003-05","2005-Q4"
2013-09-30,"Apache Junction","AZ","Phoenix","Pinal",792,132600,0.0153139356814701,0.0806845965770171,0.310276679841897,-0.0163599427872173,0.00721651104411491,10098,"2006-04",221600,-0.401624548736462,"2004-09","2006-Q2"
2013-09-30,"Rogers","AR","Fayetteville","Benton",793,121700,0.00412541254125413,0.0287404902789518,0.172447013487476,-0.0121949084103525,,15438,"2007-01",157600,-0.227791878172589,,"2007-Q1"
2013-09-30,"Troy","NY","Albany","Rensselaer",794,128800,0,0.00389711613406079,0.0206022187004754,-0.0215192532098305,0.0321077213298382,5869,"2008-10",143600,-0.103064066852368,"2006-04","2008-Q4"
2013-09-30,"Town of Elmira","NY","Elmira","Chemung",795,73200,0.00136798905608755,-0.0121457489878542,0.0180806675938804,0.0275478256160384,0.0197447051145467,12845,"2013-05",75300,-0.0278884462151394,"2013-04","2013-Q2"
2013-09-30,"Brighton","MI","Detroit","Livingston",796,213500,0.0137701804368471,0.0707121364092277,0.214448236632537,0.024244359407787,-0.0114258815146344,16769,"2005-12",246900,-0.135277440259214,"2001-05","2005-Q4"
2013-09-30,"Apple Valley","MN","Minneapolis-St Paul","Dakota",797,210200,0.00382043935052531,0.0314033366045142,0.164542936288089,-0.0103286022005832,-0.00517770541698415,16929,"2007-02",255500,-0.177299412915851,"2003-03","2007-Q1"
2013-09-30,"Castle Rock","CO","Denver","Douglas",798,324200,-0.00368776889981561,0.0282270853155725,0.128437173686042,0.020652861787493,0.0208309340706512,20371,"2013-08",325400,-0.00368776889981561,"2013-08","2013-Q3"
2013-09-30,"Urbana","IL","Champaign-Urbana","Champaign",799,108800,-0.00457456541628545,-0.00820419325432999,-0.0072992700729927,-0.0134134669907866,0.0149452273553305,10904,"2007-09",122500,-0.111836734693878,"2005-05","2007-Q3"
2013-09-30,"Downers Grove","IL","Chicago","Du Page",800,299000,-0.00499168053244592,0.0289057123193393,0.130862329803328,-0.0177440072329644,0.00799987480265885,17892,"2006-04",350400,-0.146689497716895,"2004-08","2006-Q2"
2013-09-30,"Plainfield","NJ","New York","Union",801,176100,-0.00900393922341024,0.0401653868871825,0.0724725943970767,-0.086280603875135,-0.0109515099825094,9393,"2007-04",326800,-0.461138310893513,"2003-01","2007-Q2"
2013-09-30,"North Fort Myers","FL","Fort Myers","Lee",802,123900,0.0081366965012205,0.0473372781065089,0.135655362053162,-0.018895901152531,-0.00810156791017391,13854,"2005-12",270700,-0.542297746582933,"2003-04","2005-Q4"
2013-09-30,"Old Bridge Township","NJ","New York","Middlesex",803,299500,-0.0209218698921216,-0.0193189259986902,0.0306262904335857,-0.029627320354127,0.00444744881479697,14051,"2006-06",393800,-0.239461655662773,"2004-03","2006-Q2"
2013-09-30,"Longwood","FL","Orlando","Seminole",804,208000,0.01364522417154,0.0384423364952571,0.194029850746269,-0.025437449061138,0.014225577932393,17431,"2006-08",313800,-0.337157425111536,"2004-11","2006-Q3"
